Size ,Run1 ,Run2 ,Run3 ,Run4 ,Run5 ,Run6 ,Run7 ,Run8 ,Run9 ,Run10 ,Run11 ,Run12 ,Run13 ,Run14 ,Run15 ,Run16 ,Run17 ,Run18 ,Run19 ,Run20
1000, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999
1500, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499, 1499
2000, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999
2500, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499, 2499
3000, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999, 2999
3500, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499, 3499
4000, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999, 3999
4500, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499, 4499
5000, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999, 4999
5500, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499
6000, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999, 5999
6500, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499, 6499
7000, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999, 6999
7500, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499, 7499
8000, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999, 7999
8500, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499, 8499
9000, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999, 8999
9500, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499
